id,title,categories,minPlayers,maxPlayers,playTime,difficulty,socialIntensity,learnEase,description,imageUrl,similar
g132,世紀:東方奇觀,,,,,,,,,,
g133,世紀:香料之路,,,,,,,,,,
g134,世紀:新世界,,,,,,,,,,
g135,仙子魔法陣,,,,,,,,,,
g136,仙丹妙搖,,,,,,,,,,
g137,仙境夢遊(主/中文),,,,,,,,,,
g138,出包魔法師,,,,,,,,,,
g139,出租公寓,,,,,,,,,,
g140,出租英雄,,,,,,,,,,
g141,功夫刺蝟,,,,,,,,,,
g142,功夫動物園,,,,,,,,,,
g143,加法對決,,,,,,,,,,
g144,北洋船隊,,,,,,,,,,
g145,卡卡頌+主教堂與餐館擴充套組,,,,,,,,,,
g146,卡卡頌兒童版,,,,,,,,,,
g147,卡布奇諾,,,,,,,,,,
g148,卡吞那,,,,,,,,,,
g149,卡里巴湖,,,,,,,,,,
g150,卡坦島,,,,,,,,,,
g151,卡坦島5-6人擴充,,,,,,,,,,
g152,卡坦島兒童版,,,,,,,,,,
g153,卡坦島海洋擴充,,,,,,,,,,
g154,卡坦島騎士擴充,,,,,,,,,,
g155,卡斯卡迪亞之旅（含KS特典卡）(主/中文),,,,,,,,,,
g156,卡魯巴,,,,,,,,,,
g157,卡魯巴兒童版,,,,,,,,,,
g158,去市場,,,,,,,,,,
g159,古董局中局:十二獸首平裝版,,,,,,,,,,
g160,古墓謎蹤,,,,,,,,,,
g161,古戰陣,,,,,,,,,,
g162,可可亞,,,,,,,,,,
g163,四季之森,,,,,,,,,,
g164,四季物語 (主/中文),,,,,,,,,,
g165,外星怪,,,,,,,,,,
g166,夯夯樂,,,,,,,,,,
g167,失落的城市,,,,,,,,,,
g168,奶酪大盜,,,,,,,,,,
g169,左右難題,,,,,,,,,,
g170,左鄰右舍,,,,,,,,,,
g171,巧手猜圖,,,,,,,,,,
g172,巧手精算撕,,,,,,,,,,
g173,巨龍峽谷,,,,,,,,,,
g174,巨龍奪堡,,,,,,,,,,
g175,布丁大作戰,,,,,,,,,,
g176,平衡抽抽棒,,,,,,,,,,
g177,打光94狂,,,,,,,,,,
g178,打地鼠,,,,,,,,,,
g179,打蒼蠅,,,,,,,,,,
g180,犯人在哪裡 (主/中文),,,,,,,,,,
g181,犯人在跳舞,,,,,,,,,,
g182,玄武門之變：太極篇,,,,,,,,,,
g183,生態連線,,,,,,,,,,
g184,生態農場 (主/中文),,,,,,,,,,
g185,白賊七,,,,,,,,,,
g186,皮影戲大師 (主/中文),,,,,,,,,,
g187,目擊者之夜,,,,,,,,,,
g188,石來運轉,,,,,,,,,,
g189,石器時代10週年紀念版,,,,,,,,,,
g190,石器時代兒童版,,,,,,,,,,
g191,交易員,,,,,,,,,,
g192,企鵝疊疊樂,,,,,,,,,,
g193,伊斯坦堡（中英文版）（送兩款擴充）,,,,,,,,,,
g194,伊斯坦堡骰子版,,,,,,,,,,
g195,伐木達人（2017年版）,,,,,,,,,,
g196,兇煞迴廊,,,,,,,,,,
g197,全力衝廁:新版,,,,,,,,,,
g198,全面通緝,,,,,,,,,,
g199,冰上企鵝大挑戰,,,,,,,,,,
g200,冰山疊企鵝,,,,,,,,,,
g201,冰天雪地,,,,,,,,,,
g202,冰原小英雄,,,,,,,,,,
g203,冰淇淋快手2.0,,,,,,,,,,
g204,冰雪連天,,,,,,,,,,
g205,冰酷企鵝,,,,,,,,,,
g206,印加寶藏2019年版,,,,,,,,,,
g207,同感,,,,,,,,,,
g208,名偵大賽,,,,,,,,,,
g209,名畫神偷,,,,,,,,,,
g210,名謎偵探,,,,,,,,,,
g211,在電梯前,,,,,,,,,,
g212,地下洞穴,,,,,,,,,,
g213,地牢爭霸,,,,,,,,,,
g214,地產大亨,,,,,,,,,,
g215,地產大亨:愛台客走跳台灣電子版,,,,,,,,,,
g216,地產大亨紙牌版,,,,,,,,,,
g217,地產達人,,,,,,,,,,
g218,地窖探險,,,,,,,,,,
g219,多米諾女王,,,,,,,,,,
g220,多米諾王國,,,,,,,,,,
g221,多米諾王國．骰子對決版,,,,,,,,,,
g222,多米諾骨牌,,,,,,,,,,
g223,好鼻師,,,,,,,,,,
g224,字母風火輪,,,,,,,,,,
g225,字母街,,,,,,,,,,
g226,字字轉機,,,,,,,,,,
g227,字字轉機 臉紅心跳,,,,,,,,,,
g228,字字轉機:新版,,,,,,,,,,
g229,字字轉機：圖像版,,,,,,,,,,
g230,宇宙怪獸,,,,,,,,,,
g231,忙碌的菜園,,,,,,,,,,
g232,忙碌廚房,,,,,,,,,,
g233,成敗,,,,,,,,,,
g234,收納達人,,,,,,,,,,
g235,有隻象仔跌落水,,,,,,,,,,
g236,死亡寒冬,,,,,,,,,,
g237,死亡寒冬擴充:漫漫長夜,,,,,,,,,,
g238,死亡寒冬擴充:衝突之地,,,,,,,,,,
g239,死木鎮 1876 (主/中文),,,,,,,,,,
g240,江洋大盜！,,,,,,,,,,
g241,百分直覺,,,,,,,,,,
g242,百慕達深海尋寶,,,,,,,,,,
g243,羊來湊數,,,,,,,,,,
g244,羽,,,,,,,,,,
g245,老二哲學,,,,,,,,,,
